Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Kevin Durant;2008-09;2000s;20;OKC;0.28;0.902;1;1;39;25.3;6.5;2.8;1.3;0.7;3;1.8;8.9;18.8;0.476;0.51;6.1;7.1;0.863;0.577;20.8;0.132;1.8;0;0
Dwight Howard;2008-09;2000s;23;ORL;0.72;0.963;1;1;35.7;20.6;13.8;1.4;1;2.9;3;3.4;7.1;12.4;0.572;0.572;6.4;10.7;0.594;0.6;25.4;0.234;4.4;0.271;0
Rashard Lewis;2008-09;2000s;29;ORL;0.72;0.963;1;2;36.2;17.7;5.7;2.6;1;0.6;2;2.5;6.1;13.8;0.439;0.54;2.8;3.4;0.836;0.58;16.8;0.16;4.2;0;0
Andre Miller;2008-09;2000s;32;PHI;0.5;1;1;2;36.3;16.3;4.5;6.5;1.3;0.2;2.4;2.4;6;12.7;0.473;0.48;4.1;5;0.826;0.548;18.6;0.141;2.8;0;0
Andre Iguodala;2008-09;2000s;25;PHI;0.5;1;1;1;39.9;18.8;5.7;5.3;1.6;0.4;2.7;1.9;6.6;14;0.473;0.507;4.6;6.4;0.724;0.56;18.4;0.134;3.8;0;0
Steve Nash;2008-09;2000s;34;PHO;0.561;0.902;1;1;33.6;15.7;3;9.7;0.7;0.1;3.4;1.5;5.8;11.5;0.503;0.566;2.6;2.8;0.933;0.615;19.5;0.14;0;0;0
Brandon Roy;2008-09;2000s;24;POR;0.659;0.951;1;1;37.2;22.6;4.7;5.1;1.1;0.3;1.9;1.6;8.1;16.9;0.48;0.512;5.3;6.5;0.824;0.573;24;0.223;5.8;0.006;0
LaMarcus Aldridge;2008-09;2000s;23;POR;0.659;0.988;1;2;37.1;18.1;7.5;1.9;1;1;1.5;2.6;7.4;15.3;0.484;0.486;3.2;4.1;0.781;0.529;19.1;0.151;1.9;0;0
Kevin Martin;2008-09;2000s;25;SAC;0.207;0.622;0.902;1;38.2;24.6;3.6;2.7;1.2;0.2;2.9;2.3;6.7;15.9;0.42;0.491;9;10.3;0.867;0.601;19.2;0.117;-0.3;0;0
Tim Duncan;2008-09;2000s;32;SAS;0.659;0.915;1;1;33.7;19.3;10.7;3.5;0.5;1.7;2.2;2.3;7.4;14.8;0.504;0.504;4.5;6.4;0.692;0.549;24.4;0.191;4.6;0.002;0
Tony Parker;2008-09;2000s;26;SAS;0.659;0.878;0.986;2;34.1;22;3.1;6.9;0.9;0.1;2.6;1.5;8.9;17.5;0.506;0.513;3.9;5;0.782;0.556;23.4;0.168;3.1;0.007;0
Chris Bosh;2008-09;2000s;24;TOR;0.402;0.939;1;1;38;22.7;10;2.5;0.9;1;2.3;2.5;8;16.4;0.487;0.492;6.5;8;0.817;0.569;22.1;0.159;2.4;0;0
Deron Williams;2008-09;2000s;24;UTA;0.585;0.829;1;1;36.8;19.4;2.9;10.7;1.1;0.3;3.4;2;6.8;14.5;0.471;0.506;4.8;5.6;0.849;0.573;21.1;0.16;1.8;0;0
Antawn Jamison;2008-09;2000s;32;WAS;0.232;0.988;1;1;38.2;22.2;8.9;1.9;1.2;0.3;1.5;2.7;8.3;17.8;0.468;0.507;4.2;5.6;0.754;0.549;20.6;0.126;0.7;0;0
Al Horford;2009-10;2010s;23;ATL;0.646;0.988;1;2;35.1;14.2;9.9;2.3;0.7;1.1;1.5;2.8;5.8;10.5;0.551;0.552;2.6;3.3;0.789;0.594;19.4;0.183;3.3;0.001;0
Josh Smith;2009-10;2010s;24;ATL;0.646;0.988;1;3;35.4;15.7;8.7;4.2;1.6;2.1;2.4;3;6.2;12.3;0.505;0.505;3.2;5.2;0.618;0.536;21;0.155;5.5;0;0
Joe Johnson;2009-10;2010s;28;ATL;0.646;0.927;1;1;38;21.3;4.6;4.9;1.1;0.1;1.9;1.9;8.4;18.2;0.458;0.505;2.9;3.5;0.818;0.538;19.3;0.14;2.2;0;0
Rajon Rondo;2009-10;2010s;23;BOS;0.61;0.988;1;3;36.6;13.7;4.4;9.8;2.3;0.1;3;2.4;5.7;11.2;0.508;0.517;2.2;3.5;0.621;0.54;19.1;0.156;3.5;0;0
Paul Pierce;2009-10;2010s;32;BOS;0.61;0.866;1;1;34;18.3;4.4;3.1;1.2;0.4;2.3;2.8;5.8;12.2;0.472;0.535;5.2;6.1;0.852;0.613;18.2;0.165;2.7;0;0
Kevin Garnett;2009-10;2010s;33;BOS;0.61;0.841;1;2;29.9;14.3;7.3;2.7;1;0.8;1.5;2.5;5.8;11.2;0.521;0.521;2.7;3.2;0.837;0.569;19.4;0.171;2.6;0;0
Gerald Wallace;2009-10;2010s;27;CHA;0.537;0.927;1;1;41;18.2;10;2.1;1.5;1.1;2.3;2.6;6;12.4;0.484;0.511;5.6;7.2;0.776;0.586;18.3;0.177;3.5;0;0
Derrick Rose;2009-10;2010s;21;CHI;0.5;0.951;1;1;36.8;20.8;3.8;6;0.7;0.3;2.8;1.2;8.6;17.6;0.489;0.495;3.3;4.3;0.766;0.532;18.6;0.1;0.5;0;0
LeBron James;2009-10;2010s;25;CLE;0.744;0.927;1;1;39;29.7;7.3;8.6;1.6;1;3.4;1.6;10.1;20.1;0.503;0.545;7.8;10.2;0.767;0.604;31.1;0.299;12.5;0.98;1
Dirk Nowitzki;2009-10;2010s;31;DAL;0.671;0.988;0.988;1;37.5;25;7.7;2.7;0.9;1;1.8;2.6;8.9;18.5;0.481;0.498;6.6;7.2;0.915;0.578;22.9;0.194;2.6;0.045;0
Jason Kidd;2009-10;2010s;36;DAL;0.671;0.976;1;2;36;10.3;5.6;9.1;1.8;0.4;2.4;1.8;3.6;8.4;0.423;0.554;1;1.2;0.808;0.577;17.2;0.148;4.3;0;0
Nene Hilario;2009-10;2010s;27;DEN;0.646;1;1;3;33.6;13.8;7.6;2.5;1.4;1;1.5;3.4;5.1;8.7;0.587;0.587;3.6;5.1;0.704;0.631;18.9;0.188;4.7;0;0
Chauncey Billups;2009-10;2010s;33;DEN;0.646;0.89;1;2;34.1;19.5;3.1;5.6;1.1;0.1;2.4;2.1;5.5;13.2;0.418;0.499;6.4;7;0.91;0.601;20.2;0.182;3.1;0.001;0
Carmelo Anthony;2009-10;2010s;25;DEN;0.646;0.841;1;1;38.2;28.2;6.6;3.2;1.3;0.4;3;3.3;10;21.8;0.458;0.478;7.4;8.9;0.83;0.548;22.2;0.145;1.4;0.053;0
Monta Ellis;2009-10;2010s;24;GSW;0.317;0.78;1;1;41.4;25.5;4;5.3;2.2;0.4;3.8;3;9.9;22;0.449;0.476;4.6;6.1;0.753;0.517;16.7;0.023;-1.5;0;0
Corey Maggette;2009-10;2010s;30;GSW;0.317;0.854;0.7;1;29.7;19.8;5.3;2.5;0.7;0.1;2.4;3.3;6.5;12.7;0.516;0.523;6.6;7.9;0.835;0.615;20.3;0.144;-1;0;0
Danny Granger;2009-10;2010s;26;IND;0.39;0.756;1;1;36.7;24.1;5.5;2.8;1.5;0.8;2.5;3;7.9;18.4;0.428;0.498;5.9;6.9;0.848;0.564;19.8;0.131;2.7;0;0
Pau Gasol;2009-10;2010s;29;LAL;0.695;0.793;1;2;37;18.3;11.3;3.4;0.6;1.7;2.2;2.3;7;13;0.536;0.536;4.4;5.6;0.79;0.593;22.9;0.22;5.4;0;0
Kobe Bryant;2009-10;2010s;31;LAL;0.695;0.89;1;1;38.8;27;5.4;5;1.5;0.3;3.2;2.6;9.8;21.5;0.456;0.488;6;7.4;0.811;0.545;21.9;0.16;3.6;0.487;0
Andrew Bynum;2009-10;2010s;22;LAL;0.695;0.793;1;3;30.4;15;8.3;1;0.5;1.4;1.8;3;6;10.6;0.57;0.57;3;4;0.739;0.608;20.2;0.188;1.4;0;0
Zach Randolph;2009-10;2010s;28;MEM;0.488;0.988;1;1;37.7;20.8;11.7;1.8;1;0.4;2.1;2.8;8;16.5;0.488;0.494;4.5;5.7;0.778;0.546;21.2;0.153;0.9;0;0
Dwyane Wade;2009-10;2010s;28;MIA;0.573;0.939;1;1;36.3;26.6;4.8;6.5;1.8;1.1;3.3;2.4;9.3;19.6;0.476;0.5;6.9;9.1;0.761;0.562;28;0.224;9.4;0.097;0
Andrew Bogut;2009-10;2010s;25;MIL;0.561;0.841;1;1;32.3;15.9;10.2;1.8;0.6;2.5;1.9;3.2;6.9;13.2;0.52;0.52;2.2;3.4;0.629;0.54;20.7;0.161;3.4;0;0
Chris Paul;2009-10;2010s;24;NOH;0.451;0.549;1;1;38;18.7;4.2;10.7;2.1;0.2;2.5;2.6;7;14.2;0.493;0.534;3.6;4.2;0.847;0.584;23.7;0.204;4.9;0;0
David Lee;2009-10;2010s;26;NYK;0.354;0.988;1;1;37.3;20.2;11.7;3.6;1;0.5;2.3;3.2;8.5;15.5;0.545;0.545;3.3;4.1;0.812;0.584;22.2;0.163;2.9;0;0
Kevin Durant;2009-10;2010s;21;OKC;0.61;1;1;1;39.5;30.1;7.6;2.8;1.4;1;3.3;2.1;9.7;20.3;0.476;0.514;9.2;10.2;0.9;0.607;26.2;0.238;5.1;0.495;0
Dwight Howard;2009-10;2010s;24;ORL;0.72;1;1;1;34.7;18.3;13.2;1.8;0.9;2.8;3.3;3.5;6.2;10.2;0.612;0.612;5.9;10;0.592;0.63;24;0.223;5.5;0.389;0
Steve Nash;2009-10;2010s;35;PHO;0.659;0.988;1;1;32.8;16.5;3.3;11;0.5;0.1;3.6;1.3;6.2;12.2;0.507;0.57;2.6;2.8;0.938;0.615;21.6;0.178;1.8;0.04;0
Amar'e Stoudemire;2009-10;2010s;27;PHO;0.659;1;1;2;34.6;23.1;8.9;1;0.6;1;2.6;3.4;8.6;15.4;0.557;0.557;5.9;7.7;0.771;0.615;22.6;0.181;0.3;0.004;0
Brandon Roy;2009-10;2010s;25;POR;0.61;0.793;1;1;37.2;21.5;4.4;4.7;0.9;0.2;2;2.1;7.6;16;0.473;0.508;5.3;6.8;0.78;0.568;21.3;0.18;4.1;0;0
LaMarcus Aldridge;2009-10;2010s;24;POR;0.61;0.951;1;2;37.5;17.9;8;2.1;0.9;0.6;1.3;3;7.4;15;0.495;0.497;2.9;3.9;0.757;0.535;18.2;0.145;1.6;0;0
Tyreke Evans;2009-10;2010s;20;SAC;0.305;0.878;1;1;37.2;20.1;5.3;5.8;1.5;0.4;3;2.8;7.4;16.2;0.458;0.473;4.8;6.5;0.748;0.529;18.2;0.097;1.6;0;0
Manu Ginobili;2009-10;2010s;32;SAS;0.61;0.915;0.28;2;28.7;16.5;3.8;4.9;1.4;0.3;2.1;2.1;5.3;12;0.441;0.514;4.1;4.7;0.87;0.584;22.5;0.216;6.3;0.002;0
Tim Duncan;2009-10;2010s;33;SAS;0.61;0.951;0.987;1;31.3;17.9;10.1;3.2;0.6;1.5;1.8;1.9;7.2;13.9;0.518;0.519;3.5;4.8;0.725;0.56;24.7;0.215;5.6;0;0
Chris Bosh;2009-10;2010s;25;TOR;0.488;0.854;1;1;36.1;24;10.8;2.4;0.6;1;2.4;2.4;8.6;16.5;0.518;0.522;6.7;8.4;0.797;0.592;25;0.182;2.3;0.001;0
Deron Williams;2009-10;2010s;25;UTA;0.646;0.927;1;1;36.9;18.7;4;10.5;1.3;0.2;3.3;2.7;6.5;13.9;0.469;0.515;4.4;5.5;0.801;0.574;20.6;0.177;3.3;0.006;0
Carlos Boozer;2009-10;2010s;28;UTA;0.646;0.951;1;2;34.3;19.5;11.2;3.2;1.1;0.5;2.7;3.5;7.9;14.1;0.562;0.562;3.7;4.9;0.742;0.599;21.3;0.178;3.5;0;0
Al Horford;2010-11;2010s;24;ATL;0.537;0.939;1;1;35.1;15.3;9.3;3.5;0.8;1;1.5;2.5;6.7;12;0.557;0.558;1.9;2.4;0.798;0.587;20.7;0.179;4.4;0;0
Ray Allen;2010-11;2010s;35;BOS;0.683;0.976;1;4;36.1;16.5;3.4;2.7;1;0.2;1.5;1.8;6;12.2;0.491;0.577;2.4;2.7;0.881;0.615;16.4;0.166;3.6;0;0
Kevin Garnett;2010-11;2010s;34;BOS;0.683;0.866;1;2;31.3;14.9;8.9;2.4;1.3;0.8;1.6;2.1;6.1;11.6;0.528;0.529;2.6;3.1;0.862;0.575;20.6;0.194;4;0;0
Paul Pierce;2010-11;2010s;33;BOS;0.683;0.976;1;1;34.7;18.9;5.4;3.3;1;0.6;2.1;2.9;6.3;12.8;0.497;0.551;4.8;5.6;0.86;0.62;19.7;0.201;4.7;0;0
Rajon Rondo;2010-11;2010s;24;BOS;0.683;0.829;1;3;37.2;10.6;4.4;11.2;2.3;0.2;3.4;1.8;4.7;9.9;0.475;0.482;1.1;1.9;0.568;0.495;17.1;0.126;2;0.004;0
Derrick Rose;2010-11;2010s;22;CHI;0.756;0.988;1;1;37.4;25;4.1;7.7;1;0.6;3.4;1.7;8.8;19.7;0.445;0.485;5.9;6.9;0.858;0.55;23.5;0.208;5.9;0.977;1
Dirk Nowitzki;2010-11;2010s;32;DAL;0.695;0.89;1;1;34.3;23;7;2.6;0.5;0.6;1.9;2.4;8.4;16.2;0.517;0.545;5.4;6.1;0.892;0.612;23.4;0.213;3.8;0.093;0
Tyson Chandler;2010-11;2010s;28;DAL;0.695;0.902;1;2;27.8;10.1;9.4;0.4;0.5;1.1;1.2;3.2;3.6;5.5;0.654;0.654;2.9;4;0.732;0.697;18.4;0.218;2.2;0;0
Monta Ellis;2010-11;2010s;25;GSW;0.439;0.976;1;1;40.3;24.1;3.5;5.6;2.1;0.3;3.2;2.5;9.1;20.1;0.451;0.493;4.3;5.4;0.789;0.536;18.6;0.089;0.2;0;0
Kevin Martin;2010-11;2010s;27;HOU;0.524;0.976;1;1;32.5;23.5;3.2;2.5;1;0.2;2.3;1.9;6.9;15.8;0.436;0.506;7.4;8.4;0.888;0.601;21.4;0.175;1.6;0;0
Blake Griffin;2010-11;2010s;21;LAC;0.39;1;1;1;38;22.5;12.1;3.8;0.8;0.5;2.7;3.1;8.5;16.8;0.506;0.508;5.4;8.5;0.642;0.549;21.9;0.152;3.2;0.004;0
Lamar Odom;2010-11;2010s;31;LAL;0.695;1;0.427;3;32.2;14.4;8.7;3;0.6;0.7;1.7;2.4;5.8;10.9;0.53;0.568;2;3;0.675;0.589;19.4;0.184;3.7;0;0
Pau Gasol;2010-11;2010s;30;LAL;0.695;1;1;2;37;18.8;10.2;3.3;0.6;1.6;1.7;2.5;7.2;13.7;0.529;0.53;4.3;5.2;0.823;0.589;23.3;0.232;5.3;0;0
Kobe Bryant;2010-11;2010s;32;LAL;0.695;1;1;1;33.9;25.3;5.1;4.7;1.2;0.1;3;2.1;9;20;0.451;0.487;5.9;7.1;0.828;0.548;23.9;0.178;3.8;0.354;0
Zach Randolph;2010-11;2010s;29;MEM;0.561;0.915;0.987;1;36.3;20.1;12.2;2.2;0.8;0.3;2;2.3;8;15.8;0.503;0.507;4;5.3;0.758;0.552;22.6;0.185;2.5;0;0
Dwyane Wade;2010-11;2010s;29;MIA;0.707;0.927;1;2;37.1;25.5;6.4;4.6;1.5;1.1;3.1;2.6;9.1;18.2;0.5;0.523;6.5;8.6;0.758;0.581;25.6;0.218;5.9;0.02;0
LeBron James;2010-11;2010s;26;MIA;0.707;0.963;1;1;38.8;26.7;7.5;7;1.6;0.6;3.6;2.1;9.6;18.8;0.51;0.541;6.4;8.4;0.759;0.594;27.3;0.244;8.6;0.431;0
Chris Bosh;2010-11;2010s;26;MIA;0.707;0.939;1;3;36.3;18.7;8.3;1.9;0.8;0.6;1.8;2.2;6.8;13.7;0.496;0.499;5;6.1;0.815;0.569;19.4;0.177;0.4;0;0
Kevin Love;2010-11;2010s;22;MIN;0.207;0.89;1;1;35.8;20.2;15.2;2.5;0.6;0.4;2.1;2;6.6;14.1;0.47;0.513;5.8;6.8;0.85;0.593;24.3;0.21;3.7;0;0
Chris Paul;2010-11;2010s;25;NOH;0.561;0.976;1;1;36;15.9;4.1;9.8;2.4;0.1;2.2;2.5;5.4;11.6;0.463;0.502;4.2;4.8;0.878;0.578;23.7;0.232;6.4;0.002;0
David West;2010-11;2010s;30;NOH;0.561;0.854;1;2;35;18.9;7.6;2.3;1;0.9;2;2.9;7.5;14.9;0.508;0.509;3.8;4.7;0.807;0.558;20.4;0.152;2.7;0;0
Amar'e Stoudemire;2010-11;2010s;28;NYK;0.512;0.951;1;1;36.8;25.3;8.2;2.6;0.9;1.9;3.2;3.5;9.5;19;0.502;0.505;6.1;7.7;0.792;0.565;22.7;0.134;0.7;0.007;0
Kevin Durant;2010-11;2010s;22;OKC;0.671;0.951;1;1;38.9;27.7;6.8;2.7;1.1;1;2.8;2;9.1;19.7;0.462;0.509;7.6;8.7;0.88;0.589;23.6;0.189;2.9;0.157;0
Russell Westbrook;2010-11;2010s;22;OKC;0.671;1;1;2;34.7;21.9;4.6;8.2;1.9;0.4;3.9;2.5;7.5;17;0.442;0.454;6.5;7.7;0.842;0.538;23.6;0.159;5;0;0
Dwight Howard;2010-11;2010s;25;ORL;0.634;0.951;1;1;37.6;22.9;14.1;1.4;1.4;2.4;3.6;3.3;7.9;13.4;0.593;0.593;7;11.7;0.596;0.616;26.1;0.235;4.8;0.531;0
Steve Nash;2010-11;2010s;36;PHO;0.488;0.915;1;1;33.3;14.7;3.5;11.4;0.6;0.1;3.5;1.2;5.3;10.8;0.492;0.542;3;3.3;0.912;0.601;20.8;0.153;0.6;0;0
LaMarcus Aldridge;2010-11;2010s;25;POR;0.585;0.988;1;1;39.6;21.8;8.8;2.1;1;1.2;1.9;2.7;8.7;17.5;0.5;0.501;4.3;5.5;0.791;0.549;21.5;0.166;2.4;0;0
Tony Parker;2010-11;2010s;28;SAS;0.744;0.951;1;2;32.4;17.5;3.1;6.6;1.2;0;2.6;1.7;7.1;13.7;0.519;0.531;3;3.9;0.769;0.569;20.4;0.156;1.7;0.002;0
Tim Duncan;2010-11;2010s;34;SAS;0.744;0.927;1;3;28.4;13.4;8.9;2.7;0.7;1.9;1.6;1.6;5.5;11;0.5;0.5;2.4;3.4;0.716;0.537;21.9;0.171;3.8;0;0
Manu Ginobili;2010-11;2010s;33;SAS;0.744;0.976;0.988;1;30.3;17.4;3.7;4.9;1.5;0.4;2.2;2;5.5;12.7;0.433;0.509;4.5;5.1;0.871;0.581;21.7;0.195;5.3;0.017;0
Josh Smith;2011-12;2010s;26;ATL;0.606;1;1;2;35.3;18.8;9.6;3.9;1.4;1.7;2.5;2.6;7.6;16.7;0.458;0.47;3.1;4.9;0.63;0.499;21.1;0.139;4.1;0;0
Joe Johnson;2011-12;2010s;30;ATL;0.606;0.909;1;1;35.5;18.8;3.7;3.9;0.8;0.2;1.9;1.3;7.1;15.5;0.454;0.521;2.6;3.1;0.849;0.557;18.4;0.145;2.1;0.001;0
Paul Pierce;2011-12;2010s;34;BOS;0.591;0.924;1;2;34;19.4;5.2;4.5;1.1;0.4;2.8;2.4;6.5;14.6;0.443;0.499;4.8;5.6;0.852;0.567;19.6;0.161;4.4;0;0
Kevin Garnett;2011-12;2010s;35;BOS;0.591;0.909;1;3;31.1;15.8;8.2;2.9;0.9;1;1.8;2.4;6.5;13;0.503;0.505;2.7;3.2;0.857;0.55;20.4;0.178;3.6;0;0
Rajon Rondo;2011-12;2010s;25;BOS;0.591;0.803;1;1;36.9;11.9;4.8;11.7;1.8;0.1;3.6;1.9;4.8;10.8;0.448;0.456;2;3.4;0.597;0.483;17.5;0.121;1.3;0.01;0
Derrick Rose;2011-12;2010s;23;CHI;0.758;0.591;1;1;35.3;21.8;3.4;7.9;0.9;0.7;3.1;1.3;7.7;17.8;0.435;0.473;5;6.1;0.812;0.532;23;0.211;4.9;0.004;0
Joakim Noah;2011-12;2010s;26;CHI;0.758;0.97;1;2;30.4;10.2;9.8;2.5;0.6;1.4;1.4;2.5;3.9;7.7;0.508;0.508;2.4;3.2;0.748;0.561;19.6;0.223;5.8;0;0
Carlos Boozer;2011-12;2010s;30;CHI;0.758;1;1;3;29.5;15;8.5;1.9;1;0.4;1.7;2.5;6.8;12.8;0.532;0.532;1.4;2.1;0.693;0.549;19.7;0.187;2;0;0
Dirk Nowitzki;2011-12;2010s;33;DAL;0.545;0.939;1;1;33.5;21.6;6.7;2.2;0.7;0.5;1.9;2.1;7.6;16.7;0.457;0.495;5.1;5.7;0.896;0.564;21.7;0.175;1.8;0.003;0
Ty Lawson;2011-12;2010s;24;DEN;0.576;0.924;1;1;34.8;16.4;3.7;6.6;1.3;0.1;2.4;1.5;6.1;12.6;0.488;0.535;2.9;3.5;0.824;0.579;19.4;0.157;3.3;0;0
Greg Monroe;2011-12;2010s;21;DET;0.379;1;1;1;31.5;15.4;9.7;2.3;1.3;0.7;2.4;2.7;6.2;11.8;0.521;0.521;3;4.1;0.739;0.563;22;0.161;3.8;0;0
Chris Paul;2011-12;2010s;26;LAC;0.606;0.909;1;1;36.4;19.8;3.6;9.1;2.5;0.1;2.1;2.3;7.1;14.8;0.478;0.522;4.3;5;0.861;0.581;27;0.278;7.9;0.318;0
Blake Griffin;2011-12;2010s;22;LAC;0.606;1;1;2;36.2;20.7;10.9;3.2;0.8;0.7;2.3;3.3;8.5;15.5;0.549;0.55;3.7;7.1;0.521;0.557;23.4;0.185;4.1;0;0
Andrew Bynum;2011-12;2010s;24;LAL;0.621;0.909;1;3;35.2;18.7;11.8;1.4;0.5;1.9;2.5;1.7;7.4;13.3;0.558;0.558;3.9;5.6;0.692;0.594;22.9;0.183;1.8;0;0
Kobe Bryant;2011-12;2010s;33;LAL;0.621;0.879;1;1;38.5;27.9;5.4;4.6;1.2;0.3;3.5;1.8;9.9;23;0.43;0.462;6.6;7.8;0.845;0.527;21.9;0.132;2.3;0.291;0
Pau Gasol;2011-12;2010s;31;LAL;0.621;0.985;1;2;37.4;17.4;10.4;3.6;0.6;1.4;2.2;2;7.1;14.1;0.501;0.504;3.1;4;0.782;0.547;20.4;0.165;3.7;0;0
Rudy Gay;2011-12;2010s;25;MEM;0.621;0.985;1;2;37.3;19;6.4;2.3;1.5;0.8;2.5;2.1;7.5;16.4;0.455;0.48;3.2;4;0.791;0.521;17.8;0.12;1.8;0;0
Marc Gasol;2011-12;2010s;27;MEM;0.621;0.985;1;1;36.5;14.6;8.9;3.1;1;1.9;1.9;3.1;5.5;11.4;0.482;0.483;3.6;4.9;0.748;0.541;18.4;0.166;3.9;0;0
Dwyane Wade;2011-12;2010s;30;MIA;0.697;0.742;1;2;33.2;22.1;4.8;4.6;1.7;1.3;2.6;2.2;8.5;17.1;0.497;0.506;4.8;6.1;0.791;0.559;26.3;0.227;6.3;0.005;0
LeBron James;2011-12;2010s;27;MIA;0.697;0.939;1;1;37.5;27.1;7.9;6.2;1.9;0.8;3.4;1.5;10;18.9;0.531;0.554;6.2;8.1;0.771;0.605;30.7;0.298;11;0.888;1
Chris Bosh;2011-12;2010s;27;MIA;0.697;0.864;1;3;35.2;18;7.9;1.8;0.9;0.8;2.1;2.2;6.9;14.2;0.487;0.493;4;4.9;0.821;0.551;18.9;0.165;0;0;0
Brandon Jennings;2011-12;2010s;22;MIL;0.47;1;1;1;35.3;19.1;3.4;5.5;1.6;0.3;2.2;1.7;7.1;17;0.418;0.476;2.9;3.6;0.808;0.514;18.4;0.114;2.3;0;0
Kevin Love;2011-12;2010s;23;MIN;0.394;0.833;1;1;39;26;13.3;2;0.9;0.5;2.3;2.8;8.6;19.3;0.448;0.497;6.9;8.4;0.824;0.568;25.4;0.223;4.5;0.048;0
Deron Williams;2011-12;2010s;27;NJN;0.333;0.833;1;1;36.3;21;3.3;8.7;1.2;0.4;4;2.2;7.1;17.5;0.407;0.467;4.7;5.5;0.843;0.527;20.3;0.099;2.1;0;0
Carmelo Anthony;2011-12;2010s;27;NYK;0.545;0.833;1;1;34.1;22.6;6.3;3.6;1.1;0.4;2.6;2.8;8;18.6;0.43;0.463;5.4;6.7;0.804;0.525;21.1;0.16;2.9;0;0
Tyson Chandler;2011-12;2010s;29;NYK;0.545;0.939;1;2;33.2;11.3;9.9;0.9;0.9;1.4;1.6;3;3.9;5.7;0.679;0.679;3.5;5.1;0.689;0.708;18.7;0.22;4.1;0;0
James Harden;2011-12;2010s;22;OKC;0.712;0.939;0.032;3;31.4;16.8;4.1;3.7;1;0.2;2.2;2.4;5;10.1;0.491;0.582;5;6;0.846;0.66;21.1;0.23;4.5;0;0
Russell Westbrook;2011-12;2010s;23;OKC;0.712;1;1;2;35.3;23.6;4.6;5.5;1.7;0.3;3.6;2.2;8.8;19.2;0.457;0.481;5.2;6.3;0.823;0.538;22.9;0.163;3.2;0.003;0
Kevin Durant;2011-12;2010s;23;OKC;0.712;1;1;1;38.6;28;8;3.5;1.3;1.2;3.8;2;9.7;19.7;0.496;0.547;6.5;7.6;0.86;0.61;26.2;0.23;5.2;0.735;0
Ryan Anderson;2011-12;2010s;23;ORL;0.561;0.924;1;2;32.2;16.1;7.7;0.9;0.8;0.4;0.9;2.4;5.4;12.4;0.439;0.548;2.5;2.8;0.877;0.589;21.2;0.219;4.6;0;0
Dwight Howard;2011-12;2010s;26;ORL;0.561;0.818;1;1;38.3;20.6;14.5;1.9;1.5;2.1;3.2;2.9;7.7;13.4;0.573;0.573;5.2;10.6;0.491;0.569;24.2;0.179;3.8;0.011;0
Steve Nash;2011-12;2010s;37;PHO;0.5;0.939;1;1;31.6;12.5;3;10.7;0.6;0.1;3.7;0.9;4.8;9;0.532;0.581;2;2.3;0.894;0.625;20.3;0.144;-0.5;0.006;0
LaMarcus Aldridge;2011-12;2010s;26;POR;0.424;0.833;1;1;36.3;21.7;8;2.4;0.9;0.8;2;2.8;8.8;17.1;0.512;0.513;4.1;5;0.814;0.56;22.7;0.169;2.4;0;0
Tony Parker;2011-12;2010s;29;SAS;0.758;0.909;1;1;32.1;18.3;2.9;7.7;1;0.1;2.6;1.3;7.1;14.8;0.48;0.488;3.8;4.7;0.799;0.539;22;0.177;1.7;0.274;0
Tim Duncan;2011-12;2010s;35;SAS;0.758;0.879;1;2;28.2;15.4;9;2.3;0.7;1.5;1.7;1.7;6.2;12.6;0.492;0.492;3;4.3;0.695;0.531;22.5;0.174;2.4;0.002;0
Al Jefferson;2011-12;2010s;27;UTA;0.545;0.924;1;1;34;19.2;9.6;2.2;0.8;1.7;1;2.5;8.5;17.2;0.492;0.493;2.2;2.9;0.774;0.52;22.8;0.173;3;0;0
Paul Millsap;2011-12;2010s;26;UTA;0.545;0.97;0.969;2;32.8;16.6;8.8;2.3;1.8;0.8;1.8;3.5;6.7;13.5;0.495;0.499;3.2;4;0.792;0.545;21.8;0.179;5;0;0
Al Horford;2012-13;2010s;26;ATL;0.537;0.902;1;1;37.2;17.4;10.2;3.2;1.1;1.1;2;2.2;7.8;14.3;0.543;0.545;1.8;2.8;0.644;0.56;19.8;0.153;3.1;0;0
Kevin Garnett;2012-13;2010s;36;BOS;0.5;0.829;1;2;29.7;14.8;7.8;2.3;1.1;0.9;1.6;2.3;6.2;12.5;0.496;0.498;2.3;3;0.786;0.535;19.2;0.133;1;0.001;0
Paul Pierce;2012-13;2010s;35;BOS;0.5;0.939;1;1;33.4;18.6;6.3;4.8;1.1;0.4;2.8;2.7;6.2;14.2;0.436;0.502;4.3;5.5;0.787;0.559;19.1;0.135;3.4;0;0
